UPC,CALENDAR_DATE,UNITS_SUM,D_MEAN,PR_MEAN,DISCOUNT_MEAN
00-01-28400-08295,2010-12-27T00:00:00.000Z,180,0.0,0.0,0.0
00-02-77817-11150,2010-12-27T00:00:00.000Z,92,0.0,0.0,0.0
00-06-41780-00011,2010-12-27T00:00:00.000Z,718,0.7692307692307693,1.0,0.32769230769230767
00-02-28400-06404,2010-12-27T00:00:00.000Z,1926,0.9230769230769231,0.9230769230769231,0.22461538461538463
00-02-28400-08292,2010-12-27T00:00:00.000Z,464,0.16666666666666666,0.9166666666666666,0.3841666666666667
00-01-72600-00562,2010-12-27T00:00:00.000Z,1366,0.6666666666666666,0.9166666666666666,0.29083333333333333
00-02-28400-06406,2010-12-27T00:00:00.000Z,1190,0.5,0.9166666666666666,0.2016666666666667
00-02-28400-06405,2010-12-27T00:00:00.000Z,1896,0.7692307692307693,1.0,0.23538461538461541
00-01-77975-08003,2010-12-27T00:00:00.000Z,173,0.18181818181818182,0.7272727272727273,0.15545454545454546
08-01-29515-30220,2010-12-27T00:00:00.000Z,144,0.0,0.1,0.008
08-01-43571-00015,2010-12-27T00:00:00.000Z,162,0.16666666666666666,0.0,0.0
00-02-28400-06408,2010-12-27T00:00:00.000Z,5414,1.1538461538461537,0.23076923076923078,0.047692307692307694
00-03-28400-08290,2010-12-27T00:00:00.000Z,460,0.4,1.0,0.373
00-03-41780-00118,2010-12-27T00:00:00.000Z,272,0.6153846153846154,1.0,0.3269230769230769
00-02-28400-01109,2010-12-27T00:00:00.000Z,324,0.0,0.0,0.0
00-02-28400-06406,2011-01-03T00:00:00.000Z,596,0.3333333333333333,0.9166666666666666,0.05916666666666667
00-03-28400-08290,2011-01-03T00:00:00.000Z,164,0.36363636363636365,0.09090909090909091,0.00818181818181818
08-01-29515-30220,2011-01-03T00:00:00.000Z,338,0.0,0.8888888888888888,0.33
00-02-28400-01109,2011-01-03T00:00:00.000Z,674,0.0,0.0,0.0
00-02-28400-06405,2011-01-03T00:00:00.000Z,968,0.8461538461538461,1.0,0.09692307692307695
00-03-41780-00118,2011-01-03T00:00:00.000Z,148,0.5,0.0,0.0
00-02-77817-11150,2011-01-03T00:00:00.000Z,225,0.0,0.0,0.0
00-02-28400-06404,2011-01-03T00:00:00.000Z,1082,1.0,0.9230769230769231,0.08615384615384616
00-02-28400-06408,2011-01-03T00:00:00.000Z,2478,0.9230769230769231,0.23076923076923078,0.047692307692307694
00-01-72600-00562,2011-01-03T00:00:00.000Z,460,0.6666666666666666,0.25,0.105
00-01-28400-08295,2011-01-03T00:00:00.000Z,170,0.0,0.0,0.0
00-02-28400-08292,2011-01-03T00:00:00.000Z,222,0.5,0.0,0.0
00-06-41780-00011,2011-01-03T00:00:00.000Z,154,0.6153846153846154,0.0,0.0
08-01-43571-00015,2011-01-03T00:00:00.000Z,171,0.16666666666666666,0.0,0.0
00-01-77975-08003,2011-01-03T00:00:00.000Z,214,0.5454545454545454,0.0,0.0
00-02-28400-06406,2011-01-10T00:00:00.000Z,554,0.5833333333333334,0.9166666666666666,0.05833333333333334
00-03-28400-08290,2011-01-10T00:00:00.000Z,204,0.3,0.1,0.009
00-02-28400-06408,2011-01-10T00:00:00.000Z,2478,1.3076923076923077,0.23076923076923078,0.047692307692307694
00-02-77817-11150,2011-01-10T00:00:00.000Z,184,0.0,0.0,0.0
